               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.091402,            0.019052,            0.017429,             0.17673,             0.36364,             0.13076,            0.046169,            0.090602,            0.011328,            0.012505,           0.0033434,           0.0033434,            0.067343
                  37,            0.088703,            0.018301,            0.016564,             0.17673,             0.36364,             0.13076,            0.046169,            0.090602,            0.011328,            0.012505,           0.0034289,           0.0034289,            0.066429
                  38,            0.088564,             0.01926,            0.016079,             0.28292,             0.48449,             0.17651,            0.036558,            0.099837,            0.010414,            0.011395,           0.0035141,           0.0035141,            0.065514
                  39,            0.085481,            0.019943,            0.014768,             0.28292,             0.48449,             0.17651,            0.036558,            0.099837,            0.010414,            0.011395,           0.0035988,           0.0035988,            0.064599
                  40,            0.091887,            0.018785,            0.015147,             0.12328,             0.36364,             0.10867,            0.039994,            0.089484,            0.011365,            0.010478,           0.0036832,           0.0036832,            0.063683
                  41,            0.088667,            0.018209,            0.012899,             0.12328,             0.36364,             0.10867,            0.039994,            0.089484,            0.011365,            0.010478,           0.0037672,           0.0037672,            0.062767
                  42,             0.09312,            0.018822,            0.012671,             0.58867,             0.36364,             0.39888,             0.14272,            0.095595,            0.010083,           0.0094797,           0.0038507,           0.0038507,            0.061851
                  43,            0.087524,            0.018122,            0.012042,             0.58867,             0.36364,             0.39888,             0.14272,            0.095595,            0.010083,           0.0094797,           0.0039339,           0.0039339,            0.060934
                  44,            0.089253,            0.014013,            0.012492,             0.17968,             0.27893,             0.10589,            0.032762,             0.10841,           0.0094161,           0.0087581,           0.0040167,           0.0040167,            0.060017
                  45,            0.099116,            0.015164,            0.011094,             0.17968,             0.27893,             0.10589,            0.032762,             0.10841,           0.0094161,           0.0087581,           0.0040991,           0.0040991,            0.059099
                  46,            0.097782,            0.015561,            0.010647,            0.059774,             0.36364,            0.045078,             0.01741,             0.10361,           0.0098149,           0.0082781,            0.004181,            0.004181,            0.058181
                  47,            0.085355,            0.017566,            0.010834,            0.059774,             0.36364,            0.045078,             0.01741,             0.10361,           0.0098149,           0.0082781,           0.0042626,           0.0042626,            0.057263
                  48,            0.093311,            0.017206,            0.010504,             0.18704,             0.40909,             0.13342,            0.045069,            0.088814,            0.010042,           0.0078519,           0.0043438,           0.0043438,            0.056344
                  49,            0.082925,            0.018862,            0.010116,             0.18704,             0.40909,             0.13342,            0.045069,            0.088814,            0.010042,           0.0078519,           0.0044246,           0.0044246,            0.055425
                  50,            0.079135,            0.014684,           0.0097851,             0.44184,             0.36364,             0.28661,             0.10461,            0.089343,           0.0096567,           0.0072009,            0.004505,            0.004505,            0.054505
                  51,            0.086217,            0.015905,           0.0099635,             0.44184,             0.36364,             0.28661,             0.10461,            0.089343,           0.0096567,           0.0072009,            0.004585,            0.004585,            0.053585
                  52,            0.095628,             0.01562,           0.0087401,             0.44184,             0.36364,             0.28661,             0.10461,            0.089343,           0.0096567,           0.0072009,           0.0046646,           0.0046646,            0.052665
                  53,            0.084976,            0.018432,           0.0095627,             0.28394,              0.4147,             0.22523,            0.090063,            0.089811,           0.0095523,           0.0068765,           0.0047438,           0.0047438,            0.051744
